Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
34129-0000,11/24/2021,150-0016                 ,70.00000,285-0033                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,285-0053                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,285-0076                 ,100.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0019                 ,9.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0133                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0138                 ,1.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0141                 ,12.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0155                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0160                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0247                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0248                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,320-0077                 ,7.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,360-0059                 ,28.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,360-0060                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,400-0005                 ,36.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,423-0010                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,425-0004                 ,14.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,430-0002                 ,1.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,430-0004                 ,280.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,500-0104                 ,1.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0006                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0007                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0018                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0019                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,100-0002-RMA             ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,150-0010                 ,0.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0070                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0071                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0097                 ,280.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0104                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0110                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0113                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0140                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0202                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0068                 ,0.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,230-0388                 ,840.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,230-0396                 ,2520.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,260-0005                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,260-0078                 ,17.50000
34129-0000,11/24/2021,150-0016                 ,70.00000,285-0032                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,285-0033                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,285-0053                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,285-0076                 ,100.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0133                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0155                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0160                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0247                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0248                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,360-0060                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,423-0010                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,430-0004                 ,280.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0006                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0007                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0018                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0019                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0031                 ,210.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0031                 ,210.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0032                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0032                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0033                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0033                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0042                 ,0.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,800-0042                 ,0.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,810-0003                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,810-0003                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,820-0001                 ,420.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,820-0001                 ,420.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,840-0002                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,840-0002                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,880-0005                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,880-0005                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,915-0001                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,915-0001                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0068                 ,144.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0064                 ,2.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0081                 ,2.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0086                 ,3.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0232                 ,26.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0255                 ,1.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,230-0322                 ,10.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,230-0365                 ,10.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,260-0007                 ,10.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0019                 ,9.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0138                 ,1.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,300-0141                 ,12.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,320-0077                 ,7.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,360-0059                 ,28.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,400-0005                 ,36.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,425-0004                 ,14.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,430-0002                 ,1.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,500-0104                 ,1.00000

